Scientific_Name,Scientific_Name_upper,Common_Name,Common_Name_upper,COSEWIC population,COSEWIC status,COSEWIC last assessment date,Legal population,Schedule status,SARA schedule,Listed on,Range,Taxonomic group,Under consideration for,Marine,Atlantic Region,MAR Region,RV appropiate? ,Not RV appropiate - comments ,Wild_Species
Scleroptilum grandiflorum,SCLEROPTILUM GRANDIFLORUM,Rigid-flowered Sea Pen,RIGID-FLOWERED SEA PEN,,No Status,,,No Status,,,,Corals - Coraux,,,,,,,"Vulnerable (National, Atlantic)"
Scomber scombrus,SCOMBER SCOMBRUS,Altantic mackerel,ALTANTIC MACKEREL,,No Status,,,No Status,,,,Fishes - Poissons,,,,,,,"Vulnerable (B National, B Atlantic); Unranked (NM National, NM Atlantic)"
Sebastes fasciatus,SEBASTES FASCIATUS,Acadian Redfish,ACADIAN REDFISH,,Threatened (Atlantic population); Special Concern (Bonne Bay population),4/25/2010,Atlantic population,No Status,No schedule,,Atlantic Ocean,Fishes (marine),Addition,Yes,Yes,Yes,Yes,,"Apparently Secure (National, Atlantic)"
Sebastes mentella,SEBASTES MENTELLA,Deepwater Redfish,DEEPWATER REDFISH,Gulf of St. Lawrence - Laurentian Channel population,Endangered (Gulf of St. Lawrence - Laurentian Channel population); Threatened (Northern population),4/25/2010,Gulf of St. Lawrence - Laurentian Channel population,No Status,No schedule,,Atlantic Ocean,Fishes (marine),Addition,Yes,Yes,No,Yes,,"Imperiled (National, Atlantic)"
Squalus acanthias,SQUALUS ACANTHIAS,Spiny Dogfish,SPINY DOGFISH,Atlantic population,Special Concern,4/25/2010,Atlantic population,No Status,No schedule,,Atlantic Ocean,Fishes (marine),Addition,Yes,Yes,Yes,Yes,with LOTS of caveats,NA
Tetrapturus albidus,TETRAPTURUS ALBIDUS,Atlantic white marlin,ATLANTIC WHITE MARLIN,,No Status,,,No Status,,,,Fishes - Poissons,,,,,,,"Vulnerable (NM National, NM Atlantic)"
Thunnus albacares,THUNNUS ALBACARES,Yellowfin tuna,YELLOWFIN TUNA,,No Status,,,No Status,,,,Fishes - Poissons,,,,,,,"Vulnerable (NM National, NM Atlantic)"
Thunnus obesus,THUNNUS OBESUS,Bigeye tuna,BIGEYE TUNA,,No Status,,,No Status,,,,Fishes - Poissons,,,,,,,"Vulnerable (NM National, NM Atlantic)"
Thunnus thynnus,THUNNUS THYNNUS,Atlantic Bluefin Tuna,ATLANTIC BLUEFIN TUNA,,Endangered,5/6/2011,,No Status,No schedule,,Atlantic Ocean,Fishes (marine),,Yes,Yes,Yes,Yes,,"Vulnerable (NM National, NM Atlantic)"
Umbellula encrinus,UMBELLULA ENCRINUS,Lily Sea Pen,LILY SEA PEN,,No Status,,,No Status,,,,Corals - Coraux,,,,,,,"Vulnerable (National, Atlantic)"
Urophycis tenuis,UROPHYCIS TENUIS,White Hake,WHITE HAKE,Atlantic and Northern Gulf of St. Lawrence population,Threatened (Atlantic and Northern Gulf of St. Lawrence population); Endangered (Southern Gulf of St. Lawrence population),11/1/2013,Atlantic and Northern Gulf of St. Lawrence population,No Status,No schedule,,Atlantic Ocean,Fishes (marine),Addition,Yes,Yes,Yes,Yes,,"Imperiled (B National, B Atlantic); Unrankable (N National); Unranked (M National, NM Atlantic)"
